averagerank.wholebrain,finalrank.wholebrain,averagerank.hemisphere,finalrank.hemisphere,label,language_hemisphere,language_hemisphere_bin
260.5,302.5,129.9,149.0,lh_17Networks_LH_DefaultA_IPL_1,149.0,6
249.0,286.0,123.0,142.0,lh_17Networks_LH_DefaultA_IPL_2,142.0,7
296.5,369.5,147.8,185.5,lh_17Networks_LH_DefaultA_PFCd_1,0.0,0
313.1,391.0,156.6,195.0,lh_17Networks_LH_DefaultA_PFCd_2,0.0,0
281.8,339.5,139.8,166.0,lh_17Networks_LH_DefaultA_PFCd_3,0.0,0
242.4,274.0,121.5,137.5,lh_17Networks_LH_DefaultA_pCunPCC_1,0.0,0
241.3,267.5,120.5,134.0,lh_17Networks_LH_DefaultA_pCunPCC_2,0.0,0
261.2,304.0,129.8,148.0,lh_17Networks_LH_DefaultA_pCunPCC_3,0.0,0
281.8,339.5,138.9,164.0,lh_17Networks_LH_DefaultA_pCunPCC_4,0.0,0
249.9,287.0,124.7,143.0,lh_17Networks_LH_DefaultA_pCunPCC_5,0.0,0
197.8,184.0,98.2,95.0,lh_17Networks_LH_DefaultA_pCunPCC_6,0.0,0
215.6,214.0,107.1,104.0,lh_17Networks_LH_DefaultA_pCunPCC_7,0.0,0
278.5,332.0,140.5,167.0,lh_17Networks_LH_DefaultA_PFCm_1,0.0,0
299.5,378.0,150.4,187.0,lh_17Networks_LH_DefaultA_PFCm_2,0.0,0
292.4,362.5,147.0,183.0,lh_17Networks_LH_DefaultA_PFCm_3,0.0,0
315.1,393.0,157.6,196.0,lh_17Networks_LH_DefaultA_PFCm_4,0.0,0
292.0,358.5,144.8,178.0,lh_17Networks_LH_DefaultA_PFCm_5,0.0,0
271.8,317.0,135.8,160.0,lh_17Networks_LH_DefaultA_PFCm_6,0.0,0
263.3,306.0,131.5,152.5,lh_17Networks_LH_DefaultB_Temp_1,152.5,5
292.4,362.5,145.3,181.0,lh_17Networks_LH_DefaultB_Temp_2,181.0,5
349.7,400.0,174.0,200.0,lh_17Networks_LH_DefaultB_Temp_3,200.0,5
317.3,394.0,158.1,198.0,lh_17Networks_LH_DefaultB_Temp_4,198.0,5
293.4,364.0,146.7,182.0,lh_17Networks_LH_DefaultB_Temp_5,182.0,5
243.8,277.5,122.9,141.0,lh_17Networks_LH_DefaultB_Temp_6,141.0,5
237.9,258.5,117.7,125.5,lh_17Networks_LH_DefaultB_IPL_1,125.5,6
305.2,383.0,152.5,192.0,lh_17Networks_LH_DefaultB_IPL_2,192.0,6
307.1,386.0,152.1,190.0,lh_17Networks_LH_DefaultB_PFCd_1,0.0,0
285.0,346.0,141.2,169.0,lh_17Networks_LH_DefaultB_PFCd_2,0.0,0
287.1,352.5,143.6,177.0,lh_17Networks_LH_DefaultB_PFCd_3,0.0,0
308.3,388.5,153.7,193.0,lh_17Networks_LH_DefaultB_PFCd_4,0.0,0
285.4,347.0,142.0,171.0,lh_17Networks_LH_DefaultB_PFCd_5,0.0,0
227.8,240.0,114.0,118.0,lh_17Networks_LH_DefaultB_PFCd_6,0.0,0
319.1,395.0,157.8,197.0,lh_17Networks_LH_DefaultB_PFCl_1,0.0,0
267.3,312.0,132.9,154.0,lh_17Networks_LH_DefaultB_PFCl_2,154.0,4
286.8,351.0,142.7,175.0,lh_17Networks_LH_DefaultB_PFCv_1,175.0,2
272.9,321.0,135.5,158.0,lh_17Networks_LH_DefaultB_PFCv_2,158.0,2
299.3,377.0,147.8,185.5,lh_17Networks_LH_DefaultB_PFCv_3,185.5,2
273.0,322.0,135.6,159.0,lh_17Networks_LH_DefaultB_PFCv_4,159.0,2
260.0,299.0,129.5,147.0,lh_17Networks_LH_DefaultB_PFCv_5,147.0,2
227.4,239.0,113.3,117.0,lh_17Networks_LH_DefaultC_IPL_1,117.0,7
147.9,103.0,74.4,51.5,lh_17Networks_LH_DefaultC_Rsp_1,0.0,0
194.8,181.0,97.3,94.0,lh_17Networks_LH_DefaultC_Rsp_2,0.0,0
181.3,161.0,89.1,81.0,lh_17Networks_LH_DefaultC_Rsp_3,0.0,0
175.2,152.0,88.6,79.5,lh_17Networks_LH_DefaultC_PHC_1,0.0,0
211.7,206.0,106.3,101.0,lh_17Networks_LH_DefaultC_PHC_2,0.0,0
160.4,126.0,81.2,65.0,lh_17Networks_LH_DefaultC_PHC_3,0.0,0
257.4,296.0,129.1,146.0,lh_17Networks_LH_TempPar_1,146.0,5
214.6,210.0,106.5,102.0,lh_17Networks_LH_TempPar_2,102.0,5
211.3,205.0,106.1,100.0,lh_17Networks_LH_TempPar_3,100.0,5
241.8,271.0,122.1,139.0,lh_17Networks_LH_TempPar_4,139.0,6
223.1,232.0,112.2,113.0,lh_17Networks_LH_TempPar_5,113.0,6
219.6,225.0,110.7,111.0,lh_17Networks_LH_TempPar_6,111.0,6
176.7,155.0,88.8,75.0,rh_17Networks_RH_VisCent_ExStr_1,0.0,0
123.7,72.0,61.9,37.0,rh_17Networks_RH_VisCent_ExStr_2,0.0,0
105.0,53.5,51.2,24.0,rh_17Networks_RH_VisCent_ExStr_3,0.0,0
89.2,33.0,45.4,16.0,rh_17Networks_RH_VisCent_ExStr_4,0.0,0
129.3,79.5,64.7,40.0,rh_17Networks_RH_VisCent_ExStr_5,0.0,0
98.5,40.0,49.9,19.0,rh_17Networks_RH_VisCent_ExStr_6,0.0,0
72.1,7.0,36.3,5.0,rh_17Networks_RH_VisCent_Striate_1,0.0,0
145.5,99.0,72.3,46.0,rh_17Networks_RH_VisCent_ExStr_7,0.0,0
99.7,43.0,50.0,20.5,rh_17Networks_RH_VisCent_ExStr_8,0.0,0
173.9,149.0,86.4,72.0,rh_17Networks_RH_VisCent_ExStr_9,72.0,7
76.1,10.0,37.9,6.0,rh_17Networks_RH_VisCent_ExStr_10,0.0,0
113.8,65.0,57.2,33.0,rh_17Networks_RH_VisCent_ExStr_11,0.0,0
127.2,76.5,63.5,39.0,rh_17Networks_RH_VisPeri_ExStrInf_1,0.0,0
145.2,96.5,73.5,50.0,rh_17Networks_RH_VisPeri_ExStrInf_2,0.0,0
87.5,29.5,43.8,14.0,rh_17Networks_RH_VisPeri_ExStrInf_3,0.0,0
84.7,25.0,42.3,10.5,rh_17Networks_RH_VisPeri_ExStrInf_4,0.0,0
102.2,48.5,51.8,26.5,rh_17Networks_RH_VisPeri_ExStrInf_5,0.0,0
64.4,5.0,32.7,3.0,rh_17Networks_RH_VisPeri_StriCal_1,0.0,0
102.4,50.0,51.1,23.0,rh_17Networks_RH_VisPeri_StriCal_2,0.0,0
104.8,52.0,51.8,26.5,rh_17Networks_RH_VisPeri_ExStrSup_1,0.0,0
83.2,21.0,41.5,9.0,rh_17Networks_RH_VisPeri_ExStrSup_2,0.0,0
118.9,67.0,58.9,34.0,rh_17Networks_RH_VisPeri_ExStrSup_3,0.0,0
100.6,45.0,50.5,22.0,rh_17Networks_RH_VisPeri_ExStrSup_4,0.0,0
140.3,90.0,70.7,45.0,rh_17Networks_RH_SomMotA_1,0.0,0
85.0,26.0,42.9,12.0,rh_17Networks_RH_SomMotA_2,0.0,0
109.9,61.0,54.7,32.0,rh_17Networks_RH_SomMotA_3,32.0,4
106.0,57.0,52.9,28.0,rh_17Networks_RH_SomMotA_4,0.0,0
145.2,96.5,73.1,47.0,rh_17Networks_RH_SomMotA_5,0.0,0
63.7,4.0,31.9,2.0,rh_17Networks_RH_SomMotA_6,0.0,0
83.9,23.0,42.3,10.5,rh_17Networks_RH_SomMotA_7,10.5,4
102.2,48.5,51.6,25.0,rh_17Networks_RH_SomMotA_8,0.0,0
120.7,69.0,61.1,35.0,rh_17Networks_RH_SomMotA_9,0.0,0
60.6,2.0,30.4,1.0,rh_17Networks_RH_SomMotA_10,0.0,0
91.3,35.0,45.7,17.0,rh_17Networks_RH_SomMotA_11,0.0,0
123.6,71.0,62.2,38.0,rh_17Networks_RH_SomMotA_12,0.0,0
105.6,56.0,53.2,29.0,rh_17Networks_RH_SomMotA_13,0.0,0
88.0,31.0,43.7,13.0,rh_17Networks_RH_SomMotA_14,0.0,0
71.1,6.0,35.1,4.0,rh_17Networks_RH_SomMotA_15,0.0,0
92.8,37.0,46.5,18.0,rh_17Networks_RH_SomMotA_16,0.0,0
132.3,85.0,65.9,43.0,rh_17Networks_RH_SomMotA_17,0.0,0
78.3,15.0,38.0,7.0,rh_17Networks_RH_SomMotA_18,0.0,0
82.5,20.0,40.7,8.0,rh_17Networks_RH_SomMotA_19,0.0,0
88.9,32.0,45.2,15.0,rh_17Networks_RH_SomMotA_20,0.0,0
228.1,241.5,114.6,123.5,rh_17Networks_RH_SomMotB_Aud_1,123.5,5
145.3,98.0,73.3,48.5,rh_17Networks_RH_SomMotB_Aud_2,48.5,5
216.0,216.0,106.9,108.0,rh_17Networks_RH_SomMotB_Ins_1,0.0,0
182.5,164.0,90.5,78.5,rh_17Networks_RH_SomMotB_S2_1,0.0,0
166.8,138.0,83.5,67.0,rh_17Networks_RH_SomMotB_S2_2,0.0,0
168.6,141.0,84.9,68.0,rh_17Networks_RH_SomMotB_Aud_3,68.0,6
125.1,74.0,61.4,36.0,rh_17Networks_RH_SomMotB_S2_3,0.0,0
160.2,125.0,80.2,63.0,rh_17Networks_RH_SomMotB_S2_4,0.0,0
129.3,79.5,65.5,41.0,rh_17Networks_RH_SomMotB_S2_5,0.0,0
189.1,175.5,95.4,87.0,rh_17Networks_RH_SomMotB_S2_6,0.0,0
157.0,118.5,77.8,57.0,rh_17Networks_RH_SomMotB_S2_7,0.0,0
171.4,145.0,85.3,70.0,rh_17Networks_RH_SomMotB_S2_8,0.0,0
177.1,156.0,89.8,77.0,rh_17Networks_RH_SomMotB_Cent_1,0.0,0
100.7,46.0,50.0,20.5,rh_17Networks_RH_SomMotB_Cent_2,0.0,0
111.3,63.0,54.5,31.0,rh_17Networks_RH_SomMotB_Cent_3,0.0,0
199.7,188.0,101.1,97.0,rh_17Networks_RH_DorsAttnA_TempOcc_1,0.0,0
224.4,233.0,113.4,122.0,rh_17Networks_RH_DorsAttnA_TempOcc_2,0.0,0
164.3,133.0,80.8,65.0,rh_17Networks_RH_DorsAttnA_TempOcc_3,65.0,6
155.0,117.0,76.5,55.0,rh_17Networks_RH_DorsAttnA_ParOcc_1,55.0,6
208.0,200.0,104.4,101.0,rh_17Networks_RH_DorsAttnA_ParOcc_2,101.0,6
157.8,120.0,78.1,58.0,rh_17Networks_RH_DorsAttnA_ParOcc_3,58.0,7
131.7,83.0,65.6,42.0,rh_17Networks_RH_DorsAttnA_SPL_1,0.0,0
